kepid,tce_plnt_num,pred_class,norm_kepid
002715228,01,0,002715228
002715245,01,0,002715245
002715282,01,0,002715282
002715398,01,0,002715398
002715487,01,0,002715487
002715487,02,0,002715487
002715695,01,1,002715695
002715695,02,1,002715695
002716801,01,1,002716801
002716801,02,1,002716801
002716853,01,1,002716853
002716979,01,1,002716979
002717158,01,1,002717158
002717483,01,0,002717483
002717483,02,0,002717483
002717483,03,0,002717483
002718630,01,0,002718630
002718630,02,0,002718630
002718630,03,0,002718630
002718672,01,0,002718672
002718778,01,1,002718778
002718944,01,0,002718944
002718944,02,0,002718944
002719125,01,0,002719125
002719125,02,0,002719125
002719436,01,0,002719436
002719873,01,0,002719873
002719873,02,0,002719873
002719928,01,0,002719928
002719928,02,0,002719928
002719928,03,0,002719928
002720354,01,0,002720354
002720354,02,0,002720354
002720354,03,0,002720354
002720514,01,0,002720514
002720582,01,0,002720582
002720582,02,0,002720582
002720582,03,0,002720582
002720594,01,0,002720594
002720594,02,0,002720594
002720594,03,0,002720594
002720828,01,0,002720828
002721030,01,1,002721030
002721129,01,0,002721129
002721129,02,0,002721129
002721835,01,0,002721835
002722074,01,0,002722074
002830919,01,0,002830919
002831048,01,0,002831048
002831055,01,1,002831055
002831097,01,0,002831097
002831251,01,0,002831251
002832589,01,1,002832589
002832753,01,0,002832753
002832753,02,0,002832753
002833554,01,0,002833554
002833554,02,0,002833554
002834463,01,1,002834463
002835657,01,0,002835657
002837111,01,1,002837111
002837111,02,1,002837111
002846358,01,0,002846358
002846358,02,0,002846358
002846358,03,0,002846358
002847816,01,0,002847816
002849140,01,1,002849140
002849805,01,1,002849805
002850321,01,1,002850321
002851014,01,0,002851014
002851100,01,0,002851100
002851100,02,0,002851100
002852528,01,0,002852528
002852560,01,0,002852560
002852560,02,0,002852560
002852560,03,0,002852560
002852560,04,0,002852560
002852810,01,0,002852810
002852941,01,0,002852941
002852941,02,0,002852941
002853029,01,1,002853029
002853093,01,1,002853093
